




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
response to nutrient levels (GO:0031667)	90	0	2.14	-	 < 0.01	2.77E-01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of production of molecular mediator of immune response (GO:0002702)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of production of molecular mediator of immune response (GO:0002700)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hypothalamus gonadotrophin-releasing hormone neuron development (GO:0021888)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hypothalamus gonadotrophin-releasing hormone neuron differentiation (GO:0021886)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
forebrain cell migration (GO:0021885)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
glycine receptor clustering (GO:0072579)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neurotransmitter-gated ion channel clustering (GO:0072578)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
lytic vacuole organization (GO:0080171)	21	0	.50	-	 < 0.01	1.00E00	1.00E00
liver morphogenesis (GO:0072576)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation involved in liver morphogenesis (GO:0072575)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
hepatocyte proliferation (GO:0072574)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
fatty acid transmembrane transport (GO:1902001)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
homogentisate catabolic process (GO:1902000)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of heat generation (GO:0031652)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of heat generation (GO:0031650)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial membrane (GO:0051204)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
forebrain neuron fate commitment (GO:0021877)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
formamide metabolic process (GO:0043606)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular amide catabolic process (GO:0043605)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein serine/threonine phosphatase activity (GO:0080163)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
forebrain regionalization (GO:0021871)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
protein destabilization (GO:0031648)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle, embryonic (GO:0009794)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of nervous system process (GO:0031646)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of nervous system process (GO:0031645)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of nervous system process (GO:0031644)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of myelination (GO:0031643)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of myelination (GO:0031642)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of myelination (GO:0031641)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
killing of cells of other organism (GO:0031640)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of fertilization (GO:0080154)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
arabinose metabolic process (GO:0019566)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
forebrain radial glial cell differentiation (GO:0021861)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
blood vessel lumenization (GO:0072554)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
glycerol catabolic process (GO:0019563)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERK5 cascade (GO:0070378)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of ERK5 cascade (GO:0070376)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
plasminogen activation (GO:0031639)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular heat acclimation (GO:0070370)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hypothalamic tangential migration using cell-axon interactions (GO:0021856)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hypothalamus cell migration (GO:0021855)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process to glutamate and formate (GO:0019557)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process to glutamate and formamide (GO:0019556)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
T-helper 17 cell lineage commitment (GO:0072540)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac conduction (GO:1903781)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
telomeric loop formation (GO:0031627)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hemostasis (GO:0007599)	56	0	1.33	-	 < 0.01	6.42E-01	1.00E00
blood coagulation (GO:0007596)	54	0	1.28	-	 < 0.01	6.39E-01	1.00E00
T-helper 17 cell differentiation (GO:0072539)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
T-helper 17 type immune response (GO:0072538)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to ornithine (GO:0019547)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipid localization (GO:1905954)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid localization (GO:1905953)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of lipid localization (GO:1905952)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac conduction (GO:1903779)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to glutamate (GO:0019544)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
propionate catabolic process (GO:0019543)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound transmembrane transport (GO:0072531)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
actin polymerization-dependent cell motility (GO:0070358)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process (GO:0019541)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
body fluid secretion (GO:0007589)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
response to nutrient (GO:0007584)	23	0	.55	-	 < 0.01	1.00E00	1.00E00
proteasome core complex assembly (GO:0080129)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
morphogenesis of an epithelial fold (GO:0060571)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound catabolic process (GO:0072526)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound biosynthetic process (GO:0072525)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
regulation of behavior (GO:0050795)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle membrane organization (GO:0048499)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
CAAX-box protein maturation (GO:0080120)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
interneuron migration from the subpallium to the cortex (GO:0021830)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
oxalate transport (GO:0019532)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of viral process (GO:0050792)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of animal organ identity (GO:0048496)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of gonad development (GO:1905940)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
taurine metabolic process (GO:0019530)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton organization (GO:0099188)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903762)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
anterograde synaptic vesicle transport (GO:0048490)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hormone-mediated signaling pathway (GO:0009755)	46	0	1.09	-	 < 0.01	6.29E-01	1.00E00
response to fructose (GO:0009750)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
age-dependent general metabolic decline (GO:0007571)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
gonadotrophin-releasing hormone neuronal migration to the hypothalamus (GO:0021828)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of gonad development (GO:1905939)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
substrate-independent telencephalic tangential migration (GO:0021826)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
substrate-dependent cerebral cortex tangential migration (GO:0021825)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cerebral cortex tangential migration using cell-axon interactions (GO:0021824)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of germ cell proliferation (GO:1905936)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
detoxification of mercury ion (GO:0050787)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle endocytosis (GO:0048488)	35	0	.83	-	 < 0.01	1.00E00	1.00E00
positive regulation of secondary heart field cardioblast proliferation (GO:0072513)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
parasympathetic nervous system development (GO:0048486)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic membrane adhesion (GO:0099179)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
D-gluconate metabolic process (GO:0019521)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aldonic acid metabolic process (GO:0019520)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of postsynapse organization (GO:0099175)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of presynapse organization (GO:0099174)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
presynapse organization (GO:0099172)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
response to sucrose (GO:0009744)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cell aging (GO:0007569)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in sprouting angiogenesis (GO:0120078)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
aging (GO:0007568)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
angiogenic sprout fusion (GO:0120077)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA destabilization (GO:0050779)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of immune response (GO:0050777)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
lactate oxidation (GO:0019516)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
trivalent inorganic anion homeostasis (GO:0072506)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendrite morphogenesis (GO:0050775)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
divalent inorganic anion homeostasis (GO:0072505)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
replication fork protection (GO:0048478)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
oogenesis (GO:0048477)	37	0	.88	-	 < 0.01	1.00E00	1.00E00
cellular trivalent inorganic anion homeostasis (GO:0072502)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
triglyceride homeostasis (GO:0070328)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline hydroxylation (GO:0019511)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
cellular divalent inorganic anion homeostasis (GO:0072501)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
thyroid hormone transport (GO:0070327)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid derivative catabolic process (GO:1901569)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde synaptic vesicle transport (GO:1903742)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic signaling by nitric oxide (GO:0099163)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glycolate biosynthetic process (GO:0046295)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
formaldehyde catabolic process (GO:0046294)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
formaldehyde metabolic process (GO:0046292)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
response to benomyl (GO:1901561)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of necroptotic process (GO:0060544)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phagocytosis (GO:0050766)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endocardial cushion development (GO:0003197)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of phagocytosis (GO:0050765)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of phagocytosis (GO:0050764)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
cerebral cortex tangential migration (GO:0021800)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of recycling endosome localization within postsynapse (GO:0099158)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
atrioventricular valve formation (GO:0003190)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
G1 to G0 transition (GO:0070314)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic density assembly (GO:0099151)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell development (GO:1901552)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
dosage compensation (GO:0007549)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
sex differentiation (GO:0007548)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell development (GO:1901550)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intestinal motility (GO:0120054)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heart valve formation (GO:0003188)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesoderm formation (GO:1905903)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ventriculo bulbo valve morphogenesis (GO:0003187)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mesoderm formation (GO:1905902)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane organization (GO:1903729)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid metabolic process (GO:1903727)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid metabolic process (GO:1903726)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid metabolic process (GO:1903725)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
atrioventricular valve morphogenesis (GO:0003181)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle lumen acidification (GO:1901546)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound biosynthetic process (GO:0009713)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound metabolic process (GO:0009712)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
IRE1-mediated unfolded protein response (GO:0036498)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
membrane biogenesis (GO:0044091)	15	0	.36	-	 < 0.01	1.00E00	1.00E00
sex determination (GO:0007530)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein metabolic process (GO:0050748)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
heart valve morphogenesis (GO:0003179)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein metabolic process (GO:0050746)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ventriculo bulbo valve development (GO:0003173)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
changes to DNA methylation involved in embryo development (GO:1901538)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA demethylation (GO:1901537)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA demethylation (GO:1901535)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of hematopoietic progenitor cell differentiation (GO:1901534)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of vacuole organization (GO:0044088)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	24	0	.57	-	 < 0.01	1.00E00	1.00E00
establishment of synaptic specificity at neuromuscular junction (GO:0007529)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
somatic muscle development (GO:0007525)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle cell fate determination (GO:0007521)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myoblast fusion (GO:0007520)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemopoiesis (GO:1903708)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemopoiesis (GO:1903707)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
cardiac conduction system development (GO:0003161)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endocardium morphogenesis (GO:0003160)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
proton export across plasma membrane (GO:0120029)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
type I pneumocyte differentiation (GO:0060509)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
adult heart development (GO:0007512)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anion transport (GO:0044070)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cell death in response to oxidative stress (GO:0036473)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response (GO:0050729)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response (GO:0050728)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of inflammatory response (GO:0050727)	33	0	.78	-	 < 0.01	1.00E00	1.00E00
morphogenesis of an endothelium (GO:0003159)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of animal organ formation (GO:0003156)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
BMP signaling pathway involved in determination of left/right symmetry (GO:0003154)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
outflow tract morphogenesis (GO:0003151)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
terpene catabolic process (GO:0046247)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
mesoderm migration involved in gastrulation (GO:0007509)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host cellular process (GO:0044068)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of excretion (GO:0044062)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling via endosome (GO:0036466)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
digestive tract mesoderm development (GO:0007502)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endocrine process (GO:0044060)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle recycling (GO:0036465)	38	0	.90	-	 < 0.01	1.00E00	1.00E00
mesodermal cell fate specification (GO:0007501)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
TRAIL-activated apoptotic signaling pathway (GO:0036462)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
response to disaccharide (GO:0034285)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neural crest cell migration involved in heart formation (GO:0003147)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heart jogging (GO:0003146)	32	0	.76	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytokine secretion (GO:0050710)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
ether biosynthetic process (GO:1901503)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
intermembrane lipid transfer (GO:0120009)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of digestive system process (GO:0044058)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of system process (GO:0044057)	118	0	2.80	-	 < 0.01	1.19E-01	1.00E00
negative regulation of protein secretion (GO:0050709)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
secondary heart field specification (GO:0003139)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of appetite (GO:0032099)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of appetite (GO:0032098)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to food (GO:0032096)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of response to food (GO:0032095)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
response to food (GO:0032094)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein binding (GO:0032091)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
aflatoxin metabolic process (GO:0046222)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
calcium import into the mitochondrion (GO:0036444)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
heart field specification (GO:0003128)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of GTPase activity (GO:0034260)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
indolalkylamine catabolic process (GO:0046218)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cell wall macromolecule biosynthetic process (GO:0044038)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cell wall macromolecule metabolic process (GO:0044036)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of DNA methylation (GO:0044030)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular amide metabolic process (GO:0034250)	28	0	.67	-	 < 0.01	1.00E00	1.00E00
positive regulation of deoxyribonuclease activity (GO:0032077)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclease activity (GO:0032075)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclease activity (GO:0032074)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nitric oxide metabolic process (GO:0046209)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of deoxyribonuclease activity (GO:0032070)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hypermethylation of CpG island (GO:0044027)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA hypermethylation (GO:0044026)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of type B pancreatic cell development (GO:2000077)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell development (GO:2000074)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
snoRNA splicing (GO:0034247)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of nuclease activity (GO:0032069)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization assembly (GO:0098698)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle cycle (GO:0098693)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
histone citrullination (GO:0036414)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	30	0	.71	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation in response to stress (GO:0032058)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to stress (GO:0032056)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary basal body organization (GO:0032053)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
disruption by symbiont of host cell (GO:0044004)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
modification by symbiont of host morphology or physiology (GO:0044003)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of Wnt signaling pathway involved in digestive tract morphogenesis (GO:2000056)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Wnt signaling pathway involved in dorsal/ventral axis specification (GO:2000055)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification (GO:2000054)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of Wnt signaling pathway involved in dorsal/ventral axis specification (GO:2000053)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of non-canonical Wnt signaling pathway (GO:2000051)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of non-canonical Wnt signaling pathway (GO:2000050)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
tRNA thio-modification (GO:0034227)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
