




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
peptide hormone secretion (GO:0030072)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
UMP salvage (GO:0044206)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor internalization (GO:0098884)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
'de novo' UMP biosynthetic process (GO:0044205)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein activation cascade (GO:2000257)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein refolding (GO:0042026)	22	1	.43	+	2.34	3.58E-01	1.00E00
positive regulation of feeding behavior (GO:2000253)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of feeding behavior (GO:2000252)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin cytoskeleton reorganization (GO:2000251)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	10	1	.19	+	5.14	1.91E-01	1.00E00
response to acid chemical (GO:0001101)	55	0	1.07	-	 < 0.01	6.29E-01	1.00E00
neurotransmitter receptor transport to plasma membrane (GO:0098877)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	33	0	.64	-	 < 0.01	1.00E00	1.00E00
regulation of actin cytoskeleton reorganization (GO:2000249)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
skeletal myofibril assembly (GO:0014866)	21	1	.41	+	2.45	3.46E-01	1.00E00
positive regulation of reproductive process (GO:2000243)	28	0	.54	-	 < 0.01	1.00E00	1.00E00
negative regulation of reproductive process (GO:2000242)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of reproductive process (GO:2000241)	42	0	.82	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904393)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
activation of store-operated calcium channel activity (GO:0032237)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	19	0	.37	-	 < 0.01	1.00E00	1.00E00
cellular oxidant detoxification (GO:0098869)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
bone growth (GO:0098868)	30	0	.58	-	 < 0.01	1.00E00	1.00E00
protein depalmitoleylation (GO:1990697)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle cell proliferation (GO:0014857)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of embryonic development (GO:0045992)	13	1	.25	+	3.95	2.36E-01	1.00E00
striated muscle cell proliferation (GO:0014855)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of rRNA processing (GO:2000233)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of rRNA processing (GO:2000232)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to muscle activity (GO:0014850)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mannose trimming involved in glycoprotein ERAD pathway (GO:1904382)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
response to fluid shear stress (GO:0034405)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule biosynthetic process (GO:0034404)	49	1	.95	+	1.05	6.19E-01	1.00E00
recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:0034402)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	23	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, GABAergic (GO:0032228)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
proteasomal protein catabolic process (GO:0010498)	217	5	4.22	+	1.18	6.19E-01	1.00E00
regulation of synaptic transmission, cholinergic (GO:0032222)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
actin filament-based movement (GO:0030048)	18	1	.35	+	2.86	3.07E-01	1.00E00
parallel actin filament bundle assembly (GO:0030046)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of chondrocyte development (GO:0061182)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of chondrocyte development (GO:0061181)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin mediated immune response (GO:0002891)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
intestinal lipid absorption (GO:0098856)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle contraction (GO:0045989)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
actin filament depolymerization (GO:0030042)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
actin filament polymerization (GO:0030041)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle contraction (GO:0045988)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of pancreatic A cell differentiation (GO:2000228)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of pancreatic A cell differentiation (GO:2000227)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pancreatic A cell differentiation (GO:2000226)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
esophagus smooth muscle contraction (GO:0014846)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
myoblast proliferation involved in skeletal muscle regeneration (GO:0014844)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleotide metabolic process (GO:0045981)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleotide metabolic process (GO:0045980)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cell periphery (GO:1904377)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to cell periphery (GO:1904376)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cell periphery (GO:1904375)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
riboflavin transport (GO:0032218)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin mediated immune response (GO:0002889)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of epidermal cell division (GO:0010482)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of myeloid leukocyte mediated immunity (GO:0002886)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via telomerase (GO:0032211)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
epidermal cell division (GO:0010481)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via telomerase (GO:0032210)	14	1	.27	+	3.67	2.51E-01	1.00E00
actin cytoskeleton organization (GO:0030036)	414	11	8.05	+	1.37	2.81E-01	1.00E00
microvillus assembly (GO:0030033)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cell projection assembly (GO:0030031)	244	7	4.75	+	1.47	3.45E-01	1.00E00
myoblast migration involved in skeletal muscle regeneration (GO:0014839)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of translation, ncRNA-mediated (GO:0045974)	10	1	.19	+	5.14	1.91E-01	1.00E00
protein transport along microtubule (GO:0098840)	25	1	.49	+	2.06	3.94E-01	1.00E00
myoblast differentiation involved in skeletal muscle regeneration (GO:0014835)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA acetylation (GO:0051391)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
gastro-intestinal system smooth muscle contraction (GO:0014831)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of anoikis (GO:2000210)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via recombination (GO:0032208)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via recombination (GO:0032207)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance (GO:0032205)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance (GO:0032204)	18	1	.35	+	2.86	3.07E-01	1.00E00
actin filament-based process (GO:0030029)	426	12	8.29	+	1.45	2.12E-01	1.00E00
telomere organization (GO:0032200)	35	1	.68	+	1.47	5.01E-01	1.00E00
endoplasmic reticulum polarization (GO:0061163)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of monopolar cell polarity (GO:0061162)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
folate transmembrane transport (GO:0098838)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of growth rate (GO:0045967)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anoikis (GO:2000209)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
intestine smooth muscle contraction (GO:0014827)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to glucocorticoid (GO:0051384)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
kinetochore organization (GO:0051383)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
kinetochore assembly (GO:0051382)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
response to activity (GO:0014823)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of telomere maintenance via telomere lengthening (GO:1904356)	16	1	.31	+	3.21	2.79E-01	1.00E00
phasic smooth muscle contraction (GO:0014821)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of signaling receptor activity (GO:0010469)	39	1	.76	+	1.32	5.38E-01	1.00E00
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidase activity (GO:0010466)	55	0	1.07	-	 < 0.01	6.29E-01	1.00E00
3'-UTR-mediated mRNA destabilization (GO:0061158)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA destabilization (GO:0061157)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
endothelial tube morphogenesis (GO:0061154)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002860)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein maturation by protein folding (GO:0022417)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of cell polarity (GO:0030011)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
establishment of cell polarity (GO:0030010)	39	1	.76	+	1.32	5.38E-01	1.00E00
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle contraction (GO:0014819)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion-dependent exocytosis (GO:0045955)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	76	1	1.48	-	.68	1.00E00	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
skeletal muscle satellite cell differentiation (GO:0014816)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle process (GO:0022410)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic recombination (GO:0045951)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle cell migration (GO:0014812)	9	1	.18	+	5.71	1.75E-01	1.00E00
positive regulation of dopaminergic neuron differentiation (GO:1904340)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of heart rate (GO:0010459)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
exit from mitosis (GO:0010458)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
centriole-centriole cohesion (GO:0010457)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cell proliferation in dorsal spinal cord (GO:0010456)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell fate commitment (GO:0010454)	12	1	.23	+	4.28	2.22E-01	1.00E00
regulation of cell fate commitment (GO:0010453)	22	1	.43	+	2.34	3.58E-01	1.00E00
regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002858)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H3-K36 methylation (GO:0010452)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of natural killer cell mediated immune response to tumor cell (GO:0002857)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
response to lipid (GO:0033993)	140	1	2.72	-	.37	5.29E-01	1.00E00
actin polymerization or depolymerization (GO:0008154)	32	0	.62	-	 < 0.01	1.00E00	1.00E00
cellular potassium ion homeostasis (GO:0030007)	14	1	.27	+	3.67	2.51E-01	1.00E00
regulation of natural killer cell mediated immune response to tumor cell (GO:0002855)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic cation homeostasis (GO:0030004)	60	2	1.17	+	1.71	3.32E-01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	19	0	.37	-	 < 0.01	1.00E00	1.00E00
cellular cation homeostasis (GO:0030003)	318	7	6.19	+	1.13	6.81E-01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	55	1	1.07	-	.93	1.00E00	1.00E00
regulation of cell-cell adhesion (GO:0022407)	69	2	1.34	+	1.49	3.94E-01	1.00E00
cellular anion homeostasis (GO:0030002)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
modulation of excitatory postsynaptic potential (GO:0098815)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation (GO:0045948)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
metal ion transport (GO:0030001)	418	4	8.13	-	.49	2.04E-01	1.00E00
membrane docking (GO:0022406)	62	0	1.21	-	 < 0.01	6.34E-01	1.00E00
negative regulation of translational initiation (GO:0045947)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion (GO:0014809)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cell cycle phase (GO:0022403)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription by RNA polymerase III (GO:0045945)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of somitogenesis (GO:0014807)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
neurotransmitter reuptake (GO:0098810)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of rhodopsin mediated signaling pathway (GO:0022400)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of dopaminergic neuron differentiation (GO:1904338)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of steroid metabolic process (GO:0045940)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
morphogenesis of a branching epithelium (GO:0061138)	16	1	.31	+	3.21	2.79E-01	1.00E00
response to methanol (GO:0033986)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	42	1	.82	+	1.22	5.64E-01	1.00E00
pancreas field specification (GO:0061131)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
pancreatic bud formation (GO:0061130)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of circadian sleep/wake cycle, sleep (GO:0045938)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	361	9	7.02	+	1.28	4.39E-01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	78	2	1.52	+	1.32	6.67E-01	1.00E00
regulation of renal system process (GO:0098801)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle contraction (GO:0045933)	9	1	.18	+	5.71	1.75E-01	1.00E00
negative regulation of oxidoreductase activity (GO:0051354)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle contraction (GO:0045932)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidoreductase activity (GO:0051353)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of ligase activity (GO:0051351)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of lyase activity (GO:0051350)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of inhibitory G protein-coupled receptor phosphorylation (GO:1904325)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of inhibitory G protein-coupled receptor phosphorylation (GO:1904323)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to forskolin (GO:1904322)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to forskolin (GO:1904321)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNA metabolic process (GO:0033979)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune response to tumor cell (GO:0002839)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of immune response to tumor cell (GO:0002837)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to tumor cell (GO:0002836)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of peptide transport (GO:0090087)	82	2	1.60	+	1.25	6.76E-01	1.00E00
regulation of response to tumor cell (GO:0002834)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to biotic stimulus (GO:0002833)	40	1	.78	+	1.28	5.46E-01	1.00E00
negative regulation of response to biotic stimulus (GO:0002832)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of protein deubiquitination (GO:0090085)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of response to biotic stimulus (GO:0002831)	59	1	1.15	-	.87	1.00E00	1.00E00
positive regulation of growth (GO:0045927)	21	1	.41	+	2.45	3.46E-01	1.00E00
positive regulation of lyase activity (GO:0051349)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of transferase activity (GO:0051348)	48	0	.93	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrolase activity (GO:0051346)	75	2	1.46	+	1.37	6.60E-01	1.00E00
positive regulation of fatty acid metabolic process (GO:0045923)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid metabolic process (GO:0045922)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of exocytosis (GO:0045921)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
negative regulation of exocytosis (GO:0045920)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of oxidoreductase activity (GO:0051341)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of ligase activity (GO:0051340)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNA metabolic process (GO:0033967)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA methylation on cytosine within a CG sequence (GO:0010424)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of type 2 immune response (GO:0002829)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of type 2 immune response (GO:0002828)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of T-helper 1 type immune response (GO:0002827)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
branching involved in pancreas morphogenesis (GO:0061114)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoplasmic mRNA processing body assembly (GO:0033962)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of T-helper 1 type immune response (GO:0002825)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
pancreas morphogenesis (GO:0061113)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
relaxation of skeletal muscle (GO:0090076)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
relaxation of muscle (GO:0090075)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
positive regulation of adaptive immune response (GO:0002821)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of adaptive immune response (GO:0002820)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of lyase activity (GO:0051339)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribosome biogenesis (GO:0090071)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation (GO:0045916)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of carbohydrate metabolic process (GO:0045913)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of carbohydrate metabolic process (GO:0045912)	9	1	.18	+	5.71	1.75E-01	1.00E00
positive regulation of DNA recombination (GO:0045911)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule cytoskeleton (GO:0072698)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of DNA recombination at telomere (GO:0072695)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of adaptive immune response (GO:0002819)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of ribosome biogenesis (GO:0090069)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of anatomical structure size (GO:0090066)	267	8	5.19	+	1.54	2.59E-01	1.00E00
positive regulation of vasoconstriction (GO:0045907)	15	1	.29	+	3.43	2.65E-01	1.00E00
mitotic interphase (GO:0051329)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational termination (GO:0045905)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational fidelity (GO:0045903)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
interphase (GO:0051325)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational elongation (GO:0045901)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational elongation (GO:0045900)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
choline metabolic process (GO:0019695)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of organelle assembly (GO:1902117)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
alkanesulfonate metabolic process (GO:0019694)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
neural plate formation (GO:0021990)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribose phosphate metabolic process (GO:0019693)	205	3	3.99	-	.75	1.00E00	1.00E00
negative regulation of organelle assembly (GO:1902116)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
T cell extravasation (GO:0072683)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of organelle assembly (GO:1902115)	44	1	.86	+	1.17	5.80E-01	1.00E00
deoxyribose phosphate metabolic process (GO:0019692)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
protein localization (GO:0008104)	924	15	17.98	-	.83	5.44E-01	1.00E00
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
G1 phase (GO:0051318)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebral cortex development (GO:0021987)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
meiotic metaphase plate congression (GO:0051311)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
metaphase plate congression (GO:0051310)	10	1	.19	+	5.14	1.91E-01	1.00E00
neurohypophysis development (GO:0021985)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
thymocyte migration (GO:0072679)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
T cell migration (GO:0072678)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
eosinophil migration (GO:0072677)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
lymphocyte migration (GO:0072676)	38	0	.74	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
osteoclast fusion (GO:0072675)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte differentiation (GO:1902107)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
multinuclear osteoclast differentiation (GO:0072674)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte differentiation (GO:1902106)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte differentiation (GO:1902105)	23	0	.45	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-1-mediated signaling pathway (GO:0070498)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondria-associated ubiquitin-dependent protein catabolic process (GO:0072671)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	10	1	.19	+	5.14	1.91E-01	1.00E00
thrombin-activated receptor signaling pathway (GO:0070493)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
male meiosis chromosome separation (GO:0051308)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid separation (GO:0051306)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hypothalamus cell differentiation (GO:0021979)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
establishment of chromosome localization (GO:0051303)	14	1	.27	+	3.67	2.51E-01	1.00E00
telencephalon regionalization (GO:0021978)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle pole body organization (GO:0051300)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell fate specification (GO:0043704)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
